INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Africa_Southern","N2O_AWB",2020,0,2020,298,"Africa_Southern","GHG","1990$/tN2O","TgN2O"
"Africa_Southern","N2O_AGR",2020,0,2020,298,"Africa_Southern","GHG","1990$/tN2O","TgN2O"
"Africa_Southern","CO2_LUC",2020,0.01,2020,3.666666667,"Africa_Southern","GHG","1990$/tC","MTC"
"Africa_Southern","HFC143a",2020,0,2020,4.47,"Africa_Southern","GHG","1990$/GgHFC143a","GgHFC143a"
"Africa_Southern","HFC152a",2020,0,2020,0.124,"Africa_Southern","GHG","1990$/GgHFC152a","GgHFC152a"
"Africa_Southern","HFC227ea",2020,0,2020,3.22,"Africa_Southern","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Africa_Southern","HFC23",2020,0,2020,14.8,"Africa_Southern","GHG","1990$/GgHFC23","GgHFC23"
"Africa_Southern","HFC236fa",2020,0,2020,9.81,"Africa_Southern","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Africa_Southern","HFC32",2020,0,2020,0.675,"Africa_Southern","GHG","1990$/GgHFC32","GgHFC32"
"Africa_Southern","HFC365mfc",2020,0,2020,0.794,"Africa_Southern","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Africa_Western","CO2",2020,1,2020,3.666666667,"Africa_Western","GHG","1990$/tC","MTC"
"Africa_Western","CH4",2020,0,2020,25,"Africa_Western","GHG","1990$/tCH4","TgCH4"
"Africa_Western","N2O",2020,0,2020,298,"Africa_Western","GHG","1990$/tN2O","TgN2O"
"Africa_Western","C2F6",2020,0,2020,12.2,"Africa_Western","GHG","1990$/tC2F6","GgC2F6"
"Africa_Western","CF4",2020,0,2020,7.39,"Africa_Western","GHG","1990$/tCF4","GgCF4"
"Africa_Western","HFC125",2020,0,2020,3.5,"Africa_Western","GHG","1990$/GgHFC125","GgHFC125"
"Africa_Western","HFC134a",2020,0,2020,1.43,"Africa_Western","GHG","1990$/GgHFC134a","GgHFC134a"
"Africa_Western","HFC245fa",2020,0,2020,1.03,"Africa_Western","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Africa_Western","SF6",2020,0,2020,22.8,"Africa_Western","GHG","1990$/tSF6","GgSF6"
"Africa_Western","CH4_AWB",2020,0,2020,25,"Africa_Western","GHG","1990$/tCH4","TgCH4"
"Africa_Western","CH4_AGR",2020,0,2020,25,"Africa_Western","GHG","1990$/tCH4","TgCH4"
"Africa_Western","N2O_AWB",2020,0,2020,298,"Africa_Western","GHG","1990$/tN2O","TgN2O"
"Africa_Western","N2O_AGR",2020,0,2020,298,"Africa_Western","GHG","1990$/tN2O","TgN2O"
"Africa_Western","CO2_LUC",2020,0.01,2020,3.666666667,"Africa_Western","GHG","1990$/tC","MTC"
"Africa_Western","HFC143a",2020,0,2020,4.47,"Africa_Western","GHG","1990$/GgHFC143a","GgHFC143a"
"Africa_Western","HFC152a",2020,0,2020,0.124,"Africa_Western","GHG","1990$/GgHFC152a","GgHFC152a"
"Africa_Western","HFC227ea",2020,0,2020,3.22,"Africa_Western","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Africa_Western","HFC23",2020,0,2020,14.8,"Africa_Western","GHG","1990$/GgHFC23","GgHFC23"
"Africa_Western","HFC236fa",2020,0,2020,9.81,"Africa_Western","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Africa_Western","HFC32",2020,0,2020,0.675,"Africa_Western","GHG","1990$/GgHFC32","GgHFC32"
"Africa_Western","HFC365mfc",2020,0,2020,0.794,"Africa_Western","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Argentina","CO2",2020,1,2020,3.666666667,"Argentina","GHG","1990$/tC","MTC"
"Argentina","CH4",2020,0,2020,25,"Argentina","GHG","1990$/tCH4","TgCH4"
"Argentina","N2O",2020,0,2020,298,"Argentina","GHG","1990$/tN2O","TgN2O"
"Argentina","C2F6",2020,0,2020,12.2,"Argentina","GHG","1990$/tC2F6","GgC2F6"
"Argentina","CF4",2020,0,2020,7.39,"Argentina","GHG","1990$/tCF4","GgCF4"
"Argentina","HFC125",2020,0,2020,3.5,"Argentina","GHG","1990$/GgHFC125","GgHFC125"
"Argentina","HFC134a",2020,0,2020,1.43,"Argentina","GHG","1990$/GgHFC134a","GgHFC134a"
"Argentina","HFC245fa",2020,0,2020,1.03,"Argentina","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Argentina","SF6",2020,0,2020,22.8,"Argentina","GHG","1990$/tSF6","GgSF6"
