iso,country,GCAM_region,source,rule,GHGs,CO2,CH4,N2O,HFCs,PFCs,SF6,other_GHG,GHG_total,LULUCF,sectors_C2ES,energy,industry,ag,LULUCF,waste,other_sector,INDC_UC,INDC_CN,INDC_UC_MtCO2eq,INDC_CN_MtCO2eq,target_type,ref_point,BY_emiss_source,BY_emiss_net_Mt_CO2e,BY_emiss_gross_Mt_CO2e,GWP,target_year,ref_emiss,notes
bra,Brazil,Brazil,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"NOT CLEARLY SPECIFIED (but mentions Energy, Industry, Ag, Land Use)",1,1,1,1,,,-0.43,-0.43,,,base_year,2005,INDC,2100,,AR5,2030,2100,Indicative target of -43% below 2005 in 2030
brn,Brunei Darussalam,Southeast Asia,C2ES,3a,,,,,,,,,0,1,"Energy, transportation, forestry",1,,,1,,,,,,,sectoral,,,,,,,,
bfa,Burkina Faso,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, agriculture, waste",1,,1,,1,,-0.07,-0.18,,,BAU,BAU,INDC,,118.323,,2030,118.323,
bdi,Burundi,Africa_Eastern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, forestry",1,,1,1,,,-0.03,-0.2,,,BAU,BAU,INDC,,74.485,SAR,2030,74.485,Table 3 (pg. 8) gives 2020 and 2025 objectives
khm,Cambodia,Southeast Asia,MB,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes, land-use, land-use change and forestry",1,1,,1,,,0,-0.27,,,action_conditional,BAU,INDC,,11.6,SAR,2030,11.6,"INDC BAU emissions computed from ""Total Savings"" in ""Table 1: Mitigation actions in key sectors – aggregate reductions by 2030"""
cmr,Cameroon,Africa_Western,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, forestry, waste",1,,1,1,1,,0,-0.32,,,BAU,BAU,INDC,104,,,2035,104,not sure about LULUCF
can,Canada,Canada,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.3,-0.3,,,base_year,2005,UNFCCC CRF 2014,789.241,735.829,AR4,2030,789.241,12947.60508
cpv,Cape Verde,Africa_Western,C2ES,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, transport, waste, AFOLU",1,,1,1,1,,,,,,action,,,,,AR4,,,
cym,Cayman Islands,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
caf,Central African Republic,Africa_Western,MB,3,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes, solvent use, agriculture, land-use, land-use change and forestry, waste)",1,1,1,1,1,,0,-0.05,,,BAU,BAU,,,,,2030,,"Conditional target is to reduce emissions by 5% compared to the BaU reference level (i.e. 5,498.3 kt eq-CO2 of avoided emissions) at the 2030 horizon"
tcd,Chad,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, land-use and forestry, waste",1,,1,1,1,,-0.18,-0.71,,,BAU,BAU,INDC,28.659,,AR4,2030,28.659,
chl,Chile,South America_Southern,MB,2,"CO2, CH4, N2O, HFCs, PFCs",1,1,1,1,1,,,5,1,"All (Energy, industrial processes and uses, solvent use, agriculture, land-use, land-use change and forestry, waste)",1,1,1,1,1,,-0.3,-0.4,,,intensity_GDP,2007,INDC,171.14,,SAR,2030,171.14,ref_emiss imputed from ADVANCE
chn,China,China,ADVANCE,1,UNSPECIFIED,1,,,,,,,1,0,UNSPECIFIED,1,,,,,,-0.6,-0.65,,,intensity_GDP,2005,NC2,,,,2030,,implement additional INDC policies?
cxr,Christmas Island,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
cck,Cocos (Keeling) Islands,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
col,Colombia,Colombia,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.2,-0.3,,,BAU,BAU,INDC,335,,SAR,2030,335,
com,Comoros,Africa_Eastern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, land-use, land-use change and forestry, waste",1,,1,1,1,,0,-0.84,0.0814,,BAU,BAU,INDC,0.523,,SAR,2030,0.523,
cog,Congo,Africa_Western,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"All (Energy, industrial processes and product use, agriculture, land-use and forestry, waste)",1,1,1,,1,,0,-0.48,8.793,,BAU,BAU,INDC,,16.984,SAR,2025,16.984,separate actions for LULUCF (not included in target); also give 2035 target
cod,"Congo, the Democratic Republic of the",Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, forestry",1,,1,1,,,0,-0.17,,,BAU,BAU,INDC,430,,,2030,430,
cok,Cook Islands,Southeast Asia,MB,1,CO2,1,,,,,,,1,0,Electricity,1,,,,,,-0.38,-0.86,,,base_year,2006,INDC,,0.024,N/A,2030,0.024,Elect is 34% of 2006 levels; 69574*.34=23655
cri,Costa Rica,Central America and Caribbean,MB,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"UNSPECIFIED (""All sectors in GHG inventory"")",1,1,1,1,1,,-0.25,-0.25,9.374,,limit,,INDC,12.499,,,2030,12.499,MB: imputed 2012 emissions
civ,Cote dIvoire,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, agriculture, land-use, land-use change and forestry, waste",1,,1,,1,,-0.28,-0.28,,,BAU,BAU,INDC,,34.253,SAR,2030,34.253,"Target supposedly includes LULUCF, but LULUCF not included in BAU (INDC pg. 3)"
hrv,Croatia,Europe_Non_EU,PART OF EU???,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,PART OF EU???
cub,Cuba,Central America and Caribbean,MB,3a,,,,,,,,,0,,"Energy, agriculture",1,,1,,,,,,,,action_conditional,,,,,,2030,,
dji,Djibouti,Africa_Eastern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, industrial processes, agriculture, waste",1,1,1,,1,,-0.4,-0.6,2.685,,BAU,BAU,INDC,,4.475,SAR,2030,4.475,Also give 2025 target
dma,Dominica,Central America and Caribbean,Minji,2,"CO2, CH4, N2O, HFC",1,1,1,1,,,,4,1,"All (Energy , transport; manufacturing and construction; commercial/institutional, residential, agriculture, forestry, fishing, solid waste)",1,1,1,1,1,,0,-0.45,,,base_year,2014,INDC,0.165,,SAR,2030,0.1645,Also give 2025 target
